"Status","Name","Duration in ms","Description"
"broken","Review Tests.Check the Review is Present..!","7046",""
"passed","SHOP-BUTTON TESTS.To check the title and urls of the pages","5057",""
"passed","SHOP-BUTTON TESTS.To check the title and urls of the pages","5890",""
"passed","Review Tests.Check the Empty Review Text Error","1211",""
"broken","Review Tests.Check the Email Address...!","16970",""
"broken","Review Tests.Check the Empty Review Text Error","10642",""
"passed","Review Tests.Check the Review is Present..!","5123",""
"broken","SHOP-BUTTON TESTS.Check the reviews are being written","10706",""
"passed","SHOP-BUTTON TESTS.Check the reviews are being written","920",""
"passed","Review Tests.Check the Email Address...!","6158",""
